x_train,y_train
places/s00001.png,placesMongrels/mongrolized_s00001_1.png
places/s00001.png,placesMongrels/mongrolized_s00001_2.png
places/s00002.png,placesMongrels/mongrolized_s00002_1.png
places/s00002.png,placesMongrels/mongrolized_s00002_2.png
places/s00003.png,placesMongrels/mongrolized_s00003_1.png
places/s00003.png,placesMongrels/mongrolized_s00003_2.png
places/s00004.png,placesMongrels/mongrolized_s00004_1.png
places/s00004.png,placesMongrels/mongrolized_s00004_2.png
places/s00005.png,placesMongrels/mongrolized_s00005_1.png
places/s00005.png,placesMongrels/mongrolized_s00005_2.png
places/s00006.png,placesMongrels/mongrolized_s00006_1.png
places/s00006.png,placesMongrels/mongrolized_s00006_2.png
places/s00007.png,placesMongrels/mongrolized_s00007_1.png
places/s00007.png,placesMongrels/mongrolized_s00007_2.png
places/s00008.png,placesMongrels/mongrolized_s00008_1.png
places/s00008.png,placesMongrels/mongrolized_s00008_2.png
places/s00009.png,placesMongrels/mongrolized_s00009_1.png
places/s00009.png,placesMongrels/mongrolized_s00009_2.png
places/s00010.png,placesMongrels/mongrolized_s00010_1.png
places/s00010.png,placesMongrels/mongrolized_s00010_2.png
places/s00011.png,placesMongrels/mongrolized_s00011_1.png
places/s00011.png,placesMongrels/mongrolized_s00011_2.png
places/s00012.png,placesMongrels/mongrolized_s00012_1.png
places/s00012.png,placesMongrels/mongrolized_s00012_2.png
places/s00013.png,placesMongrels/mongrolized_s00013_1.png
places/s00013.png,placesMongrels/mongrolized_s00013_2.png
places/s00014.png,placesMongrels/mongrolized_s00014_1.png
places/s00014.png,placesMongrels/mongrolized_s00014_2.png
places/s00015.png,placesMongrels/mongrolized_s00015_1.png
places/s00015.png,placesMongrels/mongrolized_s00015_2.png
places/s00016.png,placesMongrels/mongrolized_s00016_1.png
places/s00016.png,placesMongrels/mongrolized_s00016_2.png
places/s00017.png,placesMongrels/mongrolized_s00017_1.png
places/s00017.png,placesMongrels/mongrolized_s00017_2.png
places/s00018.png,placesMongrels/mongrolized_s00018_1.png
places/s00018.png,placesMongrels/mongrolized_s00018_2.png
places/s00019.png,placesMongrels/mongrolized_s00019_1.png
places/s00019.png,placesMongrels/mongrolized_s00019_2.png
places/s00020.png,placesMongrels/mongrolized_s00020_1.png
places/s00020.png,placesMongrels/mongrolized_s00020_2.png
places/s00021.png,placesMongrels/mongrolized_s00021_1.png
places/s00021.png,placesMongrels/mongrolized_s00021_2.png
places/s00022.png,placesMongrels/mongrolized_s00022_1.png
places/s00022.png,placesMongrels/mongrolized_s00022_2.png
places/s00023.png,placesMongrels/mongrolized_s00023_1.png
places/s00023.png,placesMongrels/mongrolized_s00023_2.png
places/s00024.png,placesMongrels/mongrolized_s00024_1.png
places/s00024.png,placesMongrels/mongrolized_s00024_2.png
places/s00025.png,placesMongrels/mongrolized_s00025_1.png
places/s00025.png,placesMongrels/mongrolized_s00025_2.png
places/s00026.png,placesMongrels/mongrolized_s00026_1.png
places/s00026.png,placesMongrels/mongrolized_s00026_2.png
places/s00027.png,placesMongrels/mongrolized_s00027_1.png
places/s00027.png,placesMongrels/mongrolized_s00027_2.png
places/s00028.png,placesMongrels/mongrolized_s00028_1.png
places/s00028.png,placesMongrels/mongrolized_s00028_2.png
places/s00029.png,placesMongrels/mongrolized_s00029_1.png
places/s00029.png,placesMongrels/mongrolized_s00029_2.png
places/s00030.png,placesMongrels/mongrolized_s00030_1.png
places/s00030.png,placesMongrels/mongrolized_s00030_2.png
places/s00031.png,placesMongrels/mongrolized_s00031_1.png
places/s00031.png,placesMongrels/mongrolized_s00031_2.png
places/s00032.png,placesMongrels/mongrolized_s00032_1.png
places/s00032.png,placesMongrels/mongrolized_s00032_2.png
places/s00033.png,placesMongrels/mongrolized_s00033_1.png
places/s00033.png,placesMongrels/mongrolized_s00033_2.png
places/s00034.png,placesMongrels/mongrolized_s00034_1.png
places/s00034.png,placesMongrels/mongrolized_s00034_2.png
places/s00035.png,placesMongrels/mongrolized_s00035_1.png
places/s00035.png,placesMongrels/mongrolized_s00035_2.png
places/s00036.png,placesMongrels/mongrolized_s00036_1.png
places/s00036.png,placesMongrels/mongrolized_s00036_2.png
places/s00037.png,placesMongrels/mongrolized_s00037_1.png
places/s00037.png,placesMongrels/mongrolized_s00037_2.png
places/s00038.png,placesMongrels/mongrolized_s00038_1.png
places/s00038.png,placesMongrels/mongrolized_s00038_2.png
places/s00039.png,placesMongrels/mongrolized_s00039_1.png
places/s00039.png,placesMongrels/mongrolized_s00039_2.png
places/s00040.png,placesMongrels/mongrolized_s00040_1.png
places/s00040.png,placesMongrels/mongrolized_s00040_2.png
places/s00041.png,placesMongrels/mongrolized_s00041_1.png
places/s00041.png,placesMongrels/mongrolized_s00041_2.png
places/s00042.png,placesMongrels/mongrolized_s00042_1.png
places/s00042.png,placesMongrels/mongrolized_s00042_2.png
places/s00043.png,placesMongrels/mongrolized_s00043_1.png
places/s00043.png,placesMongrels/mongrolized_s00043_2.png
places/s00044.png,placesMongrels/mongrolized_s00044_1.png
places/s00044.png,placesMongrels/mongrolized_s00044_2.png
places/s00045.png,placesMongrels/mongrolized_s00045_1.png
places/s00045.png,placesMongrels/mongrolized_s00045_2.png
places/s00046.png,placesMongrels/mongrolized_s00046_1.png
places/s00046.png,placesMongrels/mongrolized_s00046_2.png
places/s00047.png,placesMongrels/mongrolized_s00047_1.png
places/s00047.png,placesMongrels/mongrolized_s00047_2.png
places/s00048.png,placesMongrels/mongrolized_s00048_1.png
places/s00048.png,placesMongrels/mongrolized_s00048_2.png
places/s00049.png,placesMongrels/mongrolized_s00049_1.png
places/s00049.png,placesMongrels/mongrolized_s00049_2.png
places/s00050.png,placesMongrels/mongrolized_s00050_1.png
places/s00050.png,placesMongrels/mongrolized_s00050_2.png
places/s00051.png,placesMongrels/mongrolized_s00051_1.png
places/s00051.png,placesMongrels/mongrolized_s00051_2.png
places/s00052.png,placesMongrels/mongrolized_s00052_1.png
places/s00052.png,placesMongrels/mongrolized_s00052_2.png
places/s00053.png,placesMongrels/mongrolized_s00053_1.png
places/s00053.png,placesMongrels/mongrolized_s00053_2.png
places/s00054.png,placesMongrels/mongrolized_s00054_1.png
places/s00054.png,placesMongrels/mongrolized_s00054_2.png
places/s00055.png,placesMongrels/mongrolized_s00055_1.png
places/s00055.png,placesMongrels/mongrolized_s00055_2.png
places/s00056.png,placesMongrels/mongrolized_s00056_1.png
places/s00056.png,placesMongrels/mongrolized_s00056_2.png
places/s00057.png,placesMongrels/mongrolized_s00057_1.png
places/s00057.png,placesMongrels/mongrolized_s00057_2.png
places/s00058.png,placesMongrels/mongrolized_s00058_1.png
places/s00058.png,placesMongrels/mongrolized_s00058_2.png
places/s00059.png,placesMongrels/mongrolized_s00059_1.png
places/s00059.png,placesMongrels/mongrolized_s00059_2.png
places/s00060.png,placesMongrels/mongrolized_s00060_1.png
places/s00060.png,placesMongrels/mongrolized_s00060_2.png
places/s00061.png,placesMongrels/mongrolized_s00061_1.png
places/s00061.png,placesMongrels/mongrolized_s00061_2.png
places/s00062.png,placesMongrels/mongrolized_s00062_1.png
places/s00062.png,placesMongrels/mongrolized_s00062_2.png
places/s00063.png,placesMongrels/mongrolized_s00063_1.png
places/s00063.png,placesMongrels/mongrolized_s00063_2.png
places/s00064.png,placesMongrels/mongrolized_s00064_1.png
places/s00064.png,placesMongrels/mongrolized_s00064_2.png
places/s00065.png,placesMongrels/mongrolized_s00065_1.png
places/s00065.png,placesMongrels/mongrolized_s00065_2.png
places/s00066.png,placesMongrels/mongrolized_s00066_1.png
places/s00066.png,placesMongrels/mongrolized_s00066_2.png
places/s00067.png,placesMongrels/mongrolized_s00067_1.png
places/s00067.png,placesMongrels/mongrolized_s00067_2.png
places/s00068.png,placesMongrels/mongrolized_s00068_1.png
places/s00068.png,placesMongrels/mongrolized_s00068_2.png
places/s00069.png,placesMongrels/mongrolized_s00069_1.png
places/s00069.png,placesMongrels/mongrolized_s00069_2.png
places/s00070.png,placesMongrels/mongrolized_s00070_1.png
places/s00070.png,placesMongrels/mongrolized_s00070_2.png
places/s00071.png,placesMongrels/mongrolized_s00071_1.png
places/s00071.png,placesMongrels/mongrolized_s00071_2.png
places/s00072.png,placesMongrels/mongrolized_s00072_1.png
places/s00072.png,placesMongrels/mongrolized_s00072_2.png
places/s00073.png,placesMongrels/mongrolized_s00073_1.png
places/s00073.png,placesMongrels/mongrolized_s00073_2.png
places/s00074.png,placesMongrels/mongrolized_s00074_1.png
places/s00074.png,placesMongrels/mongrolized_s00074_2.png
places/s00075.png,placesMongrels/mongrolized_s00075_1.png
places/s00075.png,placesMongrels/mongrolized_s00075_2.png
places/s00076.png,placesMongrels/mongrolized_s00076_1.png
places/s00076.png,placesMongrels/mongrolized_s00076_2.png
places/s00077.png,placesMongrels/mongrolized_s00077_1.png
places/s00077.png,placesMongrels/mongrolized_s00077_2.png
places/s00078.png,placesMongrels/mongrolized_s00078_1.png
places/s00078.png,placesMongrels/mongrolized_s00078_2.png
places/s00079.png,placesMongrels/mongrolized_s00079_1.png
places/s00079.png,placesMongrels/mongrolized_s00079_2.png
places/s00080.png,placesMongrels/mongrolized_s00080_1.png
places/s00080.png,placesMongrels/mongrolized_s00080_2.png
places/s00081.png,placesMongrels/mongrolized_s00081_1.png
places/s00081.png,placesMongrels/mongrolized_s00081_2.png
places/s00082.png,placesMongrels/mongrolized_s00082_1.png
places/s00082.png,placesMongrels/mongrolized_s00082_2.png
places/s00083.png,placesMongrels/mongrolized_s00083_1.png
places/s00083.png,placesMongrels/mongrolized_s00083_2.png
places/s00084.png,placesMongrels/mongrolized_s00084_1.png
places/s00084.png,placesMongrels/mongrolized_s00084_2.png
places/s00085.png,placesMongrels/mongrolized_s00085_1.png
places/s00085.png,placesMongrels/mongrolized_s00085_2.png
places/s00086.png,placesMongrels/mongrolized_s00086_1.png
places/s00086.png,placesMongrels/mongrolized_s00086_2.png
places/s00087.png,placesMongrels/mongrolized_s00087_1.png
places/s00087.png,placesMongrels/mongrolized_s00087_2.png
places/s00088.png,placesMongrels/mongrolized_s00088_1.png
places/s00088.png,placesMongrels/mongrolized_s00088_2.png
places/s00089.png,placesMongrels/mongrolized_s00089_1.png
places/s00089.png,placesMongrels/mongrolized_s00089_2.png
places/s00090.png,placesMongrels/mongrolized_s00090_1.png
places/s00090.png,placesMongrels/mongrolized_s00090_2.png
places/s00091.png,placesMongrels/mongrolized_s00091_1.png
places/s00091.png,placesMongrels/mongrolized_s00091_2.png
places/s00092.png,placesMongrels/mongrolized_s00092_1.png
places/s00092.png,placesMongrels/mongrolized_s00092_2.png
places/s00093.png,placesMongrels/mongrolized_s00093_1.png
places/s00093.png,placesMongrels/mongrolized_s00093_2.png
